,player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url,market_value
3195,117996,985,phil-jones,Phil Jones,England,England,1992-02-21,Defender,Centre-Back,Right,185,https://www.transfermarkt.co.uk/phil-jones/profil/spieler/117996,4500000
3196,30690,985,sergio-romero,Sergio Romero,Argentina,Argentina,1987-02-22,Goalkeeper,,Right,192,https://www.transfermarkt.co.uk/sergio-romero/profil/spieler/30690,900000
3197,288255,985,donny-van-de-beek,Donny Van De Beek,Netherlands,Netherlands,1997-04-18,Midfield,Central Midfield,Right,184,https://www.transfermarkt.co.uk/donny-van-de-beek/profil/spieler/288255,27000000
3198,177907,985,harry-maguire,Harry Maguire,England,England,1993-03-05,Defender,Centre-Back,Right,194,https://www.transfermarkt.co.uk/harry-maguire/profil/spieler/177907,40500000
3199,258923,985,marcus-rashford,Marcus Rashford,Wythenshawe,England,1997-10-31,Attack,Left Winger,Right,185,https://www.transfermarkt.co.uk/marcus-rashford/profil/spieler/258923,76500000
3200,111630,148,erik-lamela,Erik Lamela,Argentina,Argentina,1992-03-04,Attack,Right Winger,Left,184,https://www.transfermarkt.co.uk/erik-lamela/profil/spieler/111630,14400000
3201,319301,985,daniel-james,Daniel James,England,Wales,1997-11-10,Attack,Left Winger,Right,170,https://www.transfermarkt.co.uk/daniel-james/profil/spieler/319301,16200000
3202,255755,985,alex-telles,Alex Telles,Brazil,Brazil,1992-12-15,Defender,Left-Back,Left,181,https://www.transfermarkt.co.uk/alex-telles/profil/spieler/255755,18000000
3203,286384,985,eric-bailly,Eric Bailly,Cote d'Ivoire,Cote d'Ivoire,1994-04-12,Defender,Centre-Back,Right,187,https://www.transfermarkt.co.uk/eric-bailly/profil/spieler/286384,13500000
3204,59377,985,david-de-gea,David De Gea,Spain,Spain,1990-11-07,Goalkeeper,,Right,192,https://www.transfermarkt.co.uk/david-de-gea/profil/spieler/59377,16200000
3205,48280,985,edinson-cavani,Edinson Cavani,Uruguay,Uruguay,1987-02-14,Attack,Centre-Forward,Right,184,https://www.transfermarkt.co.uk/edinson-cavani/profil/spieler/48280,5400000
3206,315969,985,scott-mctominay,Scott Mctominay,England,Scotland,1996-12-08,Midfield,Central Midfield,Right,191,https://www.transfermarkt.co.uk/scott-mctominay/profil/spieler/315969,31500000
3207,122153,985,paul-pogba,Paul Pogba,France,France,1993-03-15,Midfield,Central Midfield,Both,191,https://www.transfermarkt.co.uk/paul-pogba/profil/spieler/122153,54000000
3208,315779,631,christian-pulisic,Christian Pulisic,United States,United States,1998-09-18,Attack,Right Winger,Right,172,https://www.transfermarkt.co.uk/christian-pulisic/profil/spieler/315779,45000000
3209,309400,631,kai-havertz,Kai Havertz,Germany,Germany,1999-06-11,Midfield,Attacking Midfield,Left,189,https://www.transfermarkt.co.uk/kai-havertz/profil/spieler/309400,63000000
3210,77100,148,lucas-moura,Lucas Moura,Brazil,Brazil,1992-08-13,Attack,Right Winger,Right,172,https://www.transfermarkt.co.uk/lucas-moura/profil/spieler/77100,22500000
3211,342046,985,axel-tuanzebe,Axel Tuanzebe,DR Congo,England,1997-11-14,Defender,Centre-Back,Right,186,https://www.transfermarkt.co.uk/axel-tuanzebe/profil/spieler/342046,7200000
3212,82442,631,olivier-giroud,Olivier Giroud,France,France,1986-09-30,Attack,Centre-Forward,Left,193,https://www.transfermarkt.co.uk/olivier-giroud/profil/spieler/82442,3600000
3213,141660,985,jesse-lingard,Jesse Lingard,England,England,1992-12-15,Midfield,Attacking Midfield,Right,174,https://www.transfermarkt.co.uk/jesse-lingard/profil/spieler/141660,19800000
3214,316551,631,jake-clarke-salter,Jake Clarke Salter,England,England,1997-09-22,Defender,Centre-Back,Left,188,https://www.transfermarkt.co.uk/jake-clarke-salter/profil/spieler/316551,1800000
3215,157509,631,kurt-zouma,Kurt Zouma,France,France,1994-10-27,Defender,Centre-Back,Right,190,https://www.transfermarkt.co.uk/kurt-zouma/profil/spieler/157509,28800000
3216,192279,631,kepa,Kepa,Spain,Spain,1994-10-03,Goalkeeper,,Right,186,https://www.transfermarkt.co.uk/kepa/profil/spieler/192279,11700000
3217,392768,631,callum-hudson-odoi,Callum Hudson Odoi,Wandsworth,England,2000-11-07,Attack,Left Winger,Right,177,https://www.transfermarkt.co.uk/callum-hudson-odoi/profil/spieler/392768,28800000
3218,57500,631,cesar-azpilicueta,Cesar Azpilicueta,Spain,Spain,1989-08-28,Defender,Right-Back,Right,178,https://www.transfermarkt.co.uk/cesar-azpilicueta/profil/spieler/57500,11700000
3219,477758,985,aaron-wan-bissaka,Aaron Wan Bissaka,Croydon,England,1997-11-26,Defender,Right-Back,Right,183,https://www.transfermarkt.co.uk/aaron-wan-bissaka/profil/spieler/477758,36000000
3220,177862,631,charly-musonda-jr-,Charly Musonda Jr ,Belgium,Belgium,1996-10-15,Midfield,Attacking Midfield,Right,173,https://www.transfermarkt.co.uk/charly-musonda-jr-/profil/spieler/177862,900000
3221,179184,631,michy-batshuayi,Michy Batshuayi,"Brussels (en.), Bruxelles (fr.), Brüssel (de.)",Belgium,1993-10-02,Attack,Centre-Forward,Right,184,https://www.transfermarkt.co.uk/michy-batshuayi/profil/spieler/179184,9000000
