,player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url,league_id,market_value,games,minutes_played,goals,assists,wins,draws,losses,yellow_cards,red_cards,age,club_name
470,448854,3,emmanuel-dennis,Emmanuel Dennis,Nigeria,Nigeria,1997-11-15,Attack,Centre-Forward,Right,175,https://www.transfermarkt.co.uk/emmanuel-dennis/profil/spieler/448854,L1,4500000,9,473,0,1,2,1,6,0,0,23,1 Fc Koln
471,375137,3,ismail-jakobs,Ismail Jakobs,Germany,Germany,1999-08-17,Attack,Left Winger,Left,183,https://www.transfermarkt.co.uk/ismail-jakobs/profil/spieler/375137,L1,6300000,23,1728,1,1,4,8,11,5,0,21,1 Fc Koln
472,522084,3,marvin-obuz,Marvin Obuz,Germany,Germany,2002-01-25,Attack,Left Winger,Right,182,https://www.transfermarkt.co.uk/marvin-obuz/profil/spieler/522084,L1,270000,0,0,0,0,0,0,0,0,0,19,1 Fc Koln
473,464906,3,sava-arandjel-cestic,Sava Arandjel Cestic,Germany,Serbia,2001-02-19,Defender,Centre-Back,Right,192,https://www.transfermarkt.co.uk/sava-arandjel-cestic/profil/spieler/464906,L1,1350000,11,901,0,0,4,2,5,3,0,20,1 Fc Koln
474,280575,3,elvis-rexhbecaj,Elvis Rexhbecaj,Yugoslavia (Republic),Germany,1997-11-01,Midfield,Central Midfield,Left,182,https://www.transfermarkt.co.uk/elvis-rexhbecaj/profil/spieler/280575,L1,3600000,30,1838,5,2,7,9,14,4,0,23,1 Fc Koln
475,84150,3,rafael-czichos,Rafael Czichos,Saudi Arabia,Germany,1990-05-14,Defender,Centre-Back,Left,187,https://www.transfermarkt.co.uk/rafael-czichos/profil/spieler/84150,L1,1170000,28,2259,1,0,7,6,15,7,0,31,1 Fc Koln
476,108537,3,jonas-hector,Jonas Hector,Germany,Germany,1990-05-27,Midfield,Defensive Midfield,Left,185,https://www.transfermarkt.co.uk/jonas-hector/profil/spieler/108537,L1,4500000,19,1293,3,2,4,4,11,2,0,31,1 Fc Koln
477,90024,167,alfred-finnbogason,Alfred Finnbogason,Iceland,Iceland,1989-02-01,Attack,Centre-Forward,Right,184,https://www.transfermarkt.co.uk/alfred-finnbogason/profil/spieler/90024,L1,1080000,17,534,0,1,6,4,7,0,0,32,Fc Augsburg
478,314295,167,reece-oxford,Reece Oxford,Edmonton,England,1998-12-16,Defender,Centre-Back,Right,190,https://www.transfermarkt.co.uk/reece-oxford/profil/spieler/314295,L1,2700000,24,1352,0,0,9,4,11,2,0,22,Fc Augsburg
479,147573,3,sebastian-andersson,Sebastian Andersson,Sweden,Sweden,1991-07-15,Attack,Centre-Forward,Right,190,https://www.transfermarkt.co.uk/sebastian-andersson/profil/spieler/147573,L1,4050000,16,1135,3,1,2,5,9,1,0,29,1 Fc Koln
